id,Claude_Sonnet_4.5_Enabled/reward,Claude_Opus_4.5_High/reward,Gemini_3_Flash_High/reward,Gemini_3_Pro_High/reward,GLM_5_Enabled/reward,GPT_5.2_None/reward,GPT_5.2_High/reward,Qwen3.5_397B_A17B_Enabled/reward,difficulty
90,0.25,1.0,0.5,0.75,1.0,1.0,0.75,1.0,level0
50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
25,1.0,1.0,1.0,1.0,0.75,0.75,1.0,0.75,level0
44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
79,0.25,0.25,0.5,0.5,1.0,0.0,0.5,0.5,level0
41,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,level0
75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
8,0.75,0.75,1.0,0.75,0.25,0.5,1.0,0.75,level0
60,0.75,0.75,0.0,0.0,0.25,0.5,0.5,0.75,level0
73,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,level0
88,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
96,0.5,1.0,1.0,1.0,0.75,1.0,0.75,1.0,level0
87,0.75,0.75,1.0,0.75,1.0,1.0,1.0,1.0,level0
65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
97,1.0,1.0,0.75,1.0,1.0,0.5,0.75,1.0,level0
59,1.0,0.75,0.5,0.75,1.0,1.0,0.75,0.75,level0
19,0.25,1.0,0.75,0.75,0.75,0.75,1.0,1.0,level0
86,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,level0
64,0.75,0.75,0.0,0.0,0.75,0.5,0.25,0.25,level0
12,1.0,0.5,1.0,1.0,1.0,0.75,1.0,0.5,level0
26,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,level0
61,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,level0
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,level0
15,0.75,1.0,0.75,0.75,0.75,1.0,1.0,1.0,level0
78,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,level0
80,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,level0
48,1.0,0.75,1.0,1.0,0.75,1.0,1.0,1.0,level0
27,0.75,1.0,0.5,0.0,0.75,0.5,0.5,0.75,level0
93,0.75,1.0,0.75,0.75,1.0,0.5,1.0,0.5,level0
40,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,level0
58,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,level0
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
68,0.75,0.25,1.0,1.0,0.75,1.0,1.0,1.0,level0
11,1.0,1.0,0.75,1.0,0.75,1.0,1.0,0.75,level0
69,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
29,0.5,0.75,0.75,0.75,0.75,0.75,1.0,0.75,level0
3,0.75,1.0,0.25,0.25,1.0,1.0,1.0,0.75,level0
20,1.0,1.0,1.0,1.0,0.75,0.5,1.0,1.0,level0
0,0.75,1.0,1.0,1.0,0.5,1.0,0.0,1.0,level0
77,0.75,1.0,1.0,0.75,0.75,1.0,1.0,1.0,level0
23,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.75,level0
1,0.75,0.75,1.0,0.75,1.0,1.0,1.0,1.0,level0
53,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,level0
57,0.75,1.0,1.0,1.0,0.75,1.0,1.0,0.75,level0
4,0.25,0.75,1.0,0.25,0.75,0.75,0.75,0.75,level0
10,0.75,0.5,1.0,1.0,1.0,1.0,1.0,1.0,level0
42,0.75,1.0,1.0,0.75,0.75,1.0,0.75,1.0,level0
85,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,level0
49,0.75,0.25,1.0,0.75,0.0,0.75,1.0,0.75,level0
70,1.0,1.0,0.75,1.0,1.0,0.75,0.75,1.0,level0
94,0.75,0.75,1.0,0.75,1.0,0.75,0.75,1.0,level0
91,0.25,0.5,0.5,0.5,0.5,1.0,0.75,1.0,level0
