id,Claude_Sonnet_4.5_Enabled/reward,Claude_Opus_4.5_High/reward,Gemini_3_Flash_High/reward,Gemini_3_Pro_High/reward,GLM_5_Enabled/reward,GPT_5.2_None/reward,GPT_5.2_High/reward,Qwen3.5_397B_A17B_Enabled/reward,difficulty
[service_issue]airplane_mode_on|break_apn_settings|contract_end_suspension|lock_sim_card_pin[PERSONA:None],1.0,0.5,1.0,1.0,0.75,1.0,1.0,1.0,level0
[service_issue]airplane_mode_on|break_apn_settings|contract_end_suspension|unseat_sim_card[PERSONA:Easy],1.0,1.0,0.75,0.75,1.0,0.5,0.5,1.0,level0
[service_issue]contract_end_suspension|unseat_sim_card[PERSONA:Hard],1.0,1.0,1.0,1.0,0.75,0.25,1.0,0.75,level0
[service_issue]contract_end_suspension|lock_sim_card_pin[PERSONA:Hard],1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,level0
[service_issue]airplane_mode_on|break_apn_settings|contract_end_suspension|lock_sim_card_pin|unseat_sim_card[PERSONA:Easy],1.0,1.0,1.0,0.75,1.0,0.75,1.0,0.75,level0
[service_issue]break_apn_settings|contract_end_suspension|lock_sim_card_pin[PERSONA:Hard],1.0,1.0,1.0,1.0,0.75,0.75,1.0,0.75,level0
[service_issue]airplane_mode_on|contract_end_suspension|lock_sim_card_pin|unseat_sim_card[PERSONA:Hard],1.0,1.0,0.75,1.0,1.0,0.5,1.0,1.0,level0
[service_issue]break_apn_settings|lock_sim_card_pin[PERSONA:None],1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,level0
[mobile_data_issue]airplane_mode_on|user_abroad_roaming_enabled_off[PERSONA:None],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
[mms_issue]bad_network_preference|bad_wifi_calling|break_app_both_permissions|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Hard],0.5,1.0,0.75,0.25,1.0,0.25,1.0,1.0,level0
[service_issue]airplane_mode_on|break_apn_settings|lock_sim_card_pin[PERSONA:None],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
[mms_issue]bad_network_preference|user_abroad_roaming_disabled_off[PERSONA:None],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
[service_issue]airplane_mode_on|unseat_sim_card[PERSONA:None],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
[mms_issue]break_apn_mms_setting|data_mode_off|user_abroad_roaming_disabled_on[PERSONA:Hard],0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,level0
[mobile_data_issue]bad_network_preference|data_saver_mode_on|data_usage_exceeded[PERSONA:Hard],0.75,1.0,0.75,0.5,1.0,1.0,1.0,1.0,level0
[service_issue]airplane_mode_on|lock_sim_card_pin[PERSONA:Easy],1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,level0
