id,opensora2/background_consistency,opensora2/scene,Sora_cla/background_consistency,Sora_cla/scene,wan2.1_cla/background_consistency,wan2.1_cla/scene,wan2.2_cla/background_consistency,wan2.2_cla/scene,vidu_cla/background_consistency,vidu_cla/scene,Kling-1.6_cla/background_consistency,Kling-1.6_cla/scene,hunyuanvideo_cla/background_consistency,hunyuanvideo_cla/scene,veo_3_cla/background_consistency,veo_3_cla/scene,difficulty
alley,0.9722488403320313,1.0,0.9412853266568793,1.0,0.9805770874023438,1.0,0.98338623046875,0.953125,0.9433820026676829,0.725,0.9617515563964844,0.859375,0.958590316772461,1.0,0.9444453534031414,0.95,level0
amusement park,0.9747871398925781,1.0,0.9176593959731543,0.234375,0.9475738525390625,0.90625,0.9628704833984376,0.775,0.8909616361788618,0.578125,0.9627141316731771,0.5416666666666666,0.964413070678711,0.8,0.9207693369600787,0.6625,level0
aquarium,0.9689895629882812,0.95,0.9596686241610737,0.8125,0.9812248229980469,1.0,0.9755474853515625,1.0,0.9433470687245935,0.8375,0.9798177083333333,0,0.9790531158447265,0.7875,0.9683974660503927,0.925,level0
arch,0.9784847259521484,0.609375,0.9478092884857382,0.925,0.9828399658203125,0.75,0.9712390136718749,0.625,0.9581332571138212,0.625,0.9641675313313802,0.609375,0.9763507843017578,0,0.9567474844568062,0.85,level0
art gallery,0.9418685913085938,0.8375,0.893199290845218,0.9125,0.9805023193359375,0,0.9482598876953124,0.8125,0.9450759019308943,0.5,0.9447049458821615,0.1875,0.9452587127685547,0.3625,0.922575721940445,0.9875,level0
bathroom,0.9058887481689453,0.8625,0.9764219143246644,1.0,0.9952186584472656,1.0,0.9917260742187501,1.0,0.9662776295731706,1.0,0.9555806477864583,0.859375,0.9709693908691406,0.85,0.9570207685700263,1.0,level0
bakery shop,0.9754467010498047,0,0.9588781984060404,0,0.9481285095214844,0,0.9747259521484374,0,0.9487364233993902,0,0.9414413452148438,0,0.970431900024414,0,0.9244360479384817,0.25,level0
ballroom,0.9696155548095703,0.8541666666666666,0.9244864854236576,0.7,0.9625877380371093,0.1875,0.9559564208984375,0.9625,0.9274934101880081,0.65625,0.9451822916666667,0.953125,0.9662406921386719,0.859375,0.9462064892833769,0.6125,level0
bar,0.9808666229248046,0.8875,0.9508454802852351,1.0,0.9871749877929688,1.0,0.9404876708984375,0.46875,0.9301904693851626,0.671875,0.9722124735514323,1.0,0.9695457458496094,0.3541666666666667,0.9571841254908376,1.0,level0
barn,0.9808666229248046,0.8875,0.9508454802852351,1.0,0.9871749877929688,1.0,0.9404876708984375,0.46875,0.9301904693851626,0.671875,0.9722124735514323,1.0,0.9695457458496094,0.3541666666666667,0.9571841254908376,1.0,level0
basement,0.9654510498046875,0.8125,0.9602168755243289,0.21875,0.9837944030761718,0,0.9887414550781252,1.0,0.9372129858993903,0,0.9403218587239585,0,0.9425376892089844,0.75,0.9447966091295811,0.515625,level0
beach,0.9501171112060547,1.0,0.9657619809144296,0.925,0.9737480163574219,1.0,0.9778643798828124,0.9875,0.9412585746951219,0.625,0.9613329569498698,1.0,0.9739810943603515,1.0,0.9729453840804974,1.0,level0
