id,opensora2/dynamic_degree,opensora2/motion_smoothness,opensora2/subject_consistency,Sora_cla/dynamic_degree,Sora_cla/motion_smoothness,Sora_cla/subject_consistency,wan2.1_cla/dynamic_degree,wan2.1_cla/motion_smoothness,wan2.1_cla/subject_consistency,wan2.2_cla/dynamic_degree,wan2.2_cla/motion_smoothness,wan2.2_cla/subject_consistency,vidu_cla/dynamic_degree,vidu_cla/motion_smoothness,vidu_cla/subject_consistency,Kling-1.6_cla/dynamic_degree,Kling-1.6_cla/motion_smoothness,Kling-1.6_cla/subject_consistency,hunyuanvideo_cla/dynamic_degree,hunyuanvideo_cla/motion_smoothness,hunyuanvideo_cla/subject_consistency,veo_3_cla/dynamic_degree,veo_3_cla/motion_smoothness,veo_3_cla/subject_consistency,difficulty
a person swimming in ocean,1.0,0.9860571304922443,0.9219395371153951,1.0,0.9756158486113886,0.8741554624482291,1.0,0.9845468401341656,0.9541626090183853,1.0,0.9843039818218953,0.9320612442493438,1.0,0.9750418402057498,0.8096053919171899,1.0,0.9883654157192994,0.8921001335295538,1.0,0.9851346535765094,0.9311717943288386,1.0,0.9763074077119883,0.9192450545377133,level0
a person giving a presentation to a room full of colleagues,1.0,0.9927875366432561,0.9408466955646873,1.0,0.9944783398048826,0.9731316180437204,0,0.9965785975105103,0.9888254116289318,1.0,0.9929315143527029,0.9594021030515432,1.0,0.983194009826166,0.9175666009022938,1.0,0.9951615252045793,0.9513899860282738,1.0,0.9953516563842152,0.9667711445130408,1.0,0.9952526256903834,0.9666329975215552,level0
a person washing the dishes,1.0,0.9790387042675143,0.9055643465835601,1.0,0.9920177348877324,0.9377332938197476,1.0,0.9858331031195392,0.9659002736210822,1.0,0.9900187146749614,0.9669800984859466,1.0,0.9861566812374996,0.9423033197236255,1.0,0.9928256635264663,0.9465356025534372,1.0,0.9918878730679734,0.9358686189632863,1.0,0.9932996713004767,0.954801062233161,level0
a person eating a burger,1.0,0.9853658583273296,0.9126220543636009,1.0,0.9940589189633909,0.9278354203941038,1.0,0.99040027062022,0.9297884019091724,1.0,0.9903674142085943,0.9597859028726816,1.0,0.9819867079289117,0.9067641475699781,1.0,0.9948933072638898,0.911382305715233,1.0,0.9947365470138252,0.9357164332643151,1.0,0.9952653511787878,0.943807809858422,level0
a person walking in the snowstorm,1.0,0.9817878498196515,0.9509057766292244,1.0,0.9921720178299254,0.9278809965856925,1.0,0.9809843633337305,0.9364578255452216,0,0.9889639037323551,0.9631240570545196,1.0,0.9876270568925272,0.9051446252237489,1.0,0.9925719136423015,0.8922558104308943,1.0,0.9883025601078828,0.9111784480512142,1.0,0.9944631036464902,0.8763652247128062,level0
a person drinking coffee in a cafe,1.0,0.9895262758369974,0.9086773082148284,1.0,0.993305257023796,0.9140265805409259,0,0.9948225381866433,0.9799129218794405,0,0.9956195030949301,0.9668146031349899,1.0,0.9849823874556204,0.9234050377597655,0,0.995240080952327,0.8865254624281078,1.0,0.9957140943074279,0.9546620422974229,1.0,0.9952982974913285,0.9168332164512254,level0
a person playing guitar,1.0,0.98262455382032,0.9868231100961566,1.0,0.991306078145579,0.9161430168471881,1.0,0.9922270471909467,0.9862077312543989,1.0,0.9864507565132534,0.9886436989158393,1.0,0.9783972096153558,0.9216282845754934,1.0,0.9916778636081892,0.9598990814449886,1.0,0.9912450158345674,0.9812465989030897,0,0.9954738176975834,0.9902599045119359,level0
a bicycle leaning against a tree,0,0.9828905102612753,0.9930897325277328,1.0,0.9880803344241749,0.9777673143268432,0,0.9917014567057292,0.9891214424744248,0,0.9889825762030796,0.9966909659653902,1.0,0.9830339120000495,0.9609003292351235,0,0.9946340985821049,0.9891587665925423,0,0.9959640605585769,0.9988026057370007,0,0.9954653055065836,0.9937363577450757,level0
a bicycle gliding through a snowy field,1.0,0.9860990871825596,0.9216684007551521,1.0,0.9943534897688705,0.9457839410577045,1.0,0.9797875776126062,0.9175462981220335,1.0,0.9834333220500294,0.9677225469052791,1.0,0.964267534770241,0.9132449836508044,1.0,0.9944850987667322,0.9778710252294939,1.0,0.9725556860209725,0.9693305752240121,1.0,0.9949095794573921,0.9090419264363993,level0
a bicycle slowing down to stop,1.0,0.9899150384017845,0.9768692657351494,1.0,0.9678199915716791,0.9257703229484943,1.0,0.9731872809560383,0.8172139008529484,1.0,0.9750478850152617,0.8108511107787489,1.0,0.9741424053272875,0.927209064897483,1.0,0.9925767222492898,0.9734077400217453,1.0,0.9900231186987961,0.8933962374692783,1.0,0.9933286303235963,0.9652998210872031,level0
