id,opensora2/temporal_style,Sora_cla/temporal_style,wan2.1_cla/temporal_style,wan2.2_cla/temporal_style,vidu_cla/temporal_style,Kling-1.6_cla/temporal_style,hunyuanvideo_cla/temporal_style,veo_3_cla/temporal_style,difficulty
"A beautiful coastal beach in spring, waves lapping on sand, in super slow motion",0.21360768377780914,0.22231003940105437,0.13085812516510487,0.18272340893745423,0.24643463492393494,0.23449954017996788,0.2035264104604721,0.2402178794145584,level0
"A beautiful coastal beach in spring, waves lapping on sand, zoom in",0.2248269647359848,0.21717919111251832,0.1663480196148157,0.17798663973808287,0.23412149846553804,0.21326204016804695,0.19981130957603455,0.2591273009777069,level0
"A beautiful coastal beach in spring, waves lapping on sand, zoom out",0.22197978496551513,0.2331266313791275,0.2001589946448803,0.1796162486076355,0.23248784244060516,0.23376211896538734,0.20407189130783082,0.22250942885875702,level0
"A beautiful coastal beach in spring, waves lapping on sand, pan left",0.2198567122220993,0.2529569774866104,0.20273933932185173,0.18963299989700316,0.2441696584224701,0.236001618206501,0.2269069015979767,0.2465398520231247,level0
"A beautiful coastal beach in spring, waves lapping on sand, pan right",0.23506031036376954,0.24533755481243133,0.21001451462507248,0.18226581513881684,0.23193450570106505,0.23976250365376472,0.2173909842967987,0.2541021168231964,level0
"A beautiful coastal beach in spring, waves lapping on sand, tilt up",0.2300902158021927,0.21015729010105133,0.22274517640471458,0.1570476770401001,0.2484303444623947,0.21457365900278091,0.22155327200889588,0.23092707991600037,level0
"A beautiful coastal beach in spring, waves lapping on sand, tilt down",0.2327412724494934,0.23522207736968995,0.16839200258255005,0.18649742603302003,0.2255497932434082,0.23593571409583092,0.21559571325778962,0.2538199633359909,level0
"A beautiful coastal beach in spring, waves lapping on sand, with an intense shaking effect",0.20766262114048004,0.23125860393047332,0.1728772632777691,0.19358842670917512,0.2526456296443939,0.2435433194041252,0.2357676088809967,0.25199187994003297,level0
"A beautiful coastal beach in spring, waves lapping on sand, featuring a steady and smooth perspective",0.2352793425321579,0.2399892270565033,0.17860747501254082,0.1806490659713745,0.23757452070713042,0.22691548988223076,0.21534421741962434,0.2539116024971008,level0
"A beautiful coastal beach in spring, waves lapping on sand, racking focus",0.24425337016582488,0.23273555040359498,0.1703295297920704,0.17013782560825347,0.22073104679584504,0.20232557132840157,0.21504396200180054,0.24667889773845672,level0
"The bund Shanghai, in super slow motion",0.2315636992454529,0.2348345011472702,0.201049592345953,0.2029727041721344,0.25822415947914124,0.21383438631892204,0.17803448736667632,0.2683655917644501,level0
"The bund Shanghai, zoom in",0.2529720664024353,0.20653554797172546,0.25123487785458565,0.20845651030540466,0.2059207022190094,0.21086502820253372,0.18949372172355652,0.2852239847183228,level0
"The bund Shanghai, zoom out",0.2391892969608307,0.24634906649589539,0.22801047936081886,0.17594870030879975,0.2418965756893158,0.2151295319199562,0.1816679745912552,0.27929502725601196,level0
"The bund Shanghai, pan left",0.24404083788394929,0.21387037634849548,0.23951799049973488,0.1798396050930023,0.23485687077045442,0.20887227728962898,0.1815141558647156,0.2481504887342453,level0
"The bund Shanghai, pan right",0.25182516872882843,0.23465757966041564,0.22816159203648567,0.21073478758335112,0.2329082816839218,0.20212294533848763,0.16206999719142914,0.26279055178165434,level0
"The bund Shanghai, tilt up",0.2500889837741852,0.2613966852426529,0.25447608157992363,0.20987483263015747,0.2591734826564789,0.16032134741544724,0.16293978095054626,0.29455025792121886,level0
"The bund Shanghai, tilt down",0.25679196119308473,0.27175991535186766,0.25527553260326385,0.23769757747650147,0.24198166131973267,0.20106086507439613,0.15286124050617217,0.3028711974620819,level0
"The bund Shanghai, with an intense shaking effect",0.2504693537950516,0.1791145011782646,0.1166972778737545,0.19161273241043092,0.2255375623703003,0.22573236003518105,0.12686179876327514,0.27202263474464417,level0
"The bund Shanghai, featuring a steady and smooth perspective",0.27489718794822693,0.2507025361061096,0.24178756028413773,0.216201713681221,0.2950406312942505,0.2416873387992382,0.20331668853759766,0.2885459214448929,level0
"The bund Shanghai, racking focus",0.17798973321914674,0.21442055106163024,0.23915034532546997,0.12986844778060913,0.21921998560428618,0.22306016460061073,0.1446444071829319,0.23994722664356233,level0
"a shark is swimming in the ocean, in super slow motion",0.2003399759531021,0.21829260289669036,0.17949221655726433,0.19706327617168426,0.21910296082496644,0.21128010377287865,0.2153571903705597,0.207854825258255,level0
"a shark is swimming in the ocean, zoom in",0.2187043011188507,0.23409502506256102,0.19628823921084404,0.2034550905227661,0.22112804651260376,0.19587340578436852,0.2007841408252716,0.21878719627857207,level0
"a shark is swimming in the ocean, zoom out",0.20200949609279634,0.20648651719093322,0.19205954670906067,0.18659824132919312,0.1961223602294922,0.18539276346564293,0.17706047296524047,0.1980839788913727,level0
"a shark is swimming in the ocean, pan left",0.17636134028434752,0.17707267999649048,0.1710904948413372,0.17314029037952422,0.17076264023780824,0.1779102459549904,0.19012904167175293,0.16806997656822203,level0
"a shark is swimming in the ocean, pan right",0.18714733123779298,0.1710517466068268,0.18934651464223862,0.1942438542842865,0.18972300887107849,0.19146300852298737,0.1806857019662857,0.17965997457504274,level0
"a shark is swimming in the ocean, tilt up",0.1766979604959488,0.18957432210445405,0.1689593754708767,0.19098687469959258,0.17619819641113282,0.18517595157027245,0.17375398576259612,0.17997609674930573,level0
"a shark is swimming in the ocean, tilt down",0.17296009063720702,0.1678104966878891,0.15830354765057564,0.1743617981672287,0.1693552166223526,0.1756301037967205,0.16497839689254762,0.17557629346847534,level0
"a shark is swimming in the ocean, with an intense shaking effect",0.22495035827159882,0.22322965264320374,0.20477508008480072,0.21246370673179626,0.21861191391944884,0.20703579857945442,0.2199647068977356,0.22163996398448943,level0
"a shark is swimming in the ocean, featuring a steady and smooth perspective",0.22499467432498932,0.2212489813566208,0.20524954795837402,0.21065392196178437,0.22388194799423217,0.19872837886214256,0.20084526836872102,0.2303869068622589,level0
